 ,,GPS_North (-90-90),GPS_East (0-360 or -180-180),Datum,,,,,,,,,,,,,
15.6,m,m,flow banding,209.92,,,,,,,,,,,,,
5,mv,mv,,214.92,,,,,,,,,,,,,
1.9,mv/v,mv/v,,216.82,,,,,,,,,,,,,
1.3,v,v,flow top,218.12,,,,,,,,,,,,,
0.9,m,m,,219.02,,,,,,,,,,,,,
2.9,mv,mv,,221.92,,,,,,,,,,,,,
3.2,v,v,,225.12,,,,,,,,,,,,,
5.3,cover,cover,flow top (inferred),230.42,,,,,,,,,,,,,
1.9,mv,mv,flow top,232.32,,,,,,,,,,,,,
1.9,m,m,,234.22,,,,,,,,,,,,,
3.8,m/mv,m/mv,,238.02,,,,,,,,,,,,,
6.9,cover,cover,,244.92,,,,,,,,,,,,,
1.6,mv,mv,,246.52,,,,,,,,,,,,,
4.4,v,v,flow top,250.92,,,,,,,,,,,,,
1,m,m,,251.92,,,,,,,,,,,,,
5.6,mv,mv,,257.52,,,,,,,,,,,,,
1.3,mv/v,mv/v,,258.82,,,,,,,,,,,,,
8.4,cover,cover,flow top (inferred),267.22,,,,,,,,,,,,,
2.8,v,v,flow top,270.02,,,,,,,,,,,,,
2.8,m,m,,272.82,,,,,,,,,,,,,
1.1,mv/v,mv/v,,273.92,,,,,,,,,,,,,
1.9,v,v,,275.82,,,,,,,,,,,,,
16.9,cover,cover,flow top (inferred),292.72,,,,,,,,,,,,,
1.1,mv/v,mv/v,flow top,293.82,,,,,,,,,,,,,
1.4,cover,cover,,295.22,,,,,,,,,,,,,
3.8,mv/v,mv/v,,299.02,,,,,,,,,,,,,
2.1,v,v,flow top,301.12,,,,,,,,,,,,,
7.5,m,m,"pipe vesicles; coarser grained, diabase?",308.62,,,,,,,,,,,,,
1.9,mv/v,mv/v,,310.52,,,,,,,,,,,,,
11.3,v,v,flow top,321.82,,,,,,,,,,,,,
1.9,mv/v,mv/v,,323.72,,,,,,,,,,,,,
1.3,v,v,flow top,325.02,,,,,,,,,,,,,
1.9,mv,mv,,326.92,,,,,,,,,,,,,
1.9,mv/v,mv/v,,328.82,,,,,,,,,,,,,
1.9,v,v,flow top,330.72,,,,,,,,,,,,,
1,mv,mv,,331.72,,,,,,,,,,,,,
3.8,m/mv,m/mv,,335.52,,,,,,,,,,,,,
3.8,mv/v,mv/v,,339.32,,,,,,,,,,,,,
1.9,v,v,flow top,341.22,,,,,,,,,,,,,
0.5,mv,mv,,341.72,,,,,,,,,,,,,
1.4,v,v,flow top,343.12,,,,,,,,,,,,,
2.5,m,m,,345.62,,,,,,,,,,,,,
1.9,mv,mv,,347.52,,,,,,,,,,,,,
0.4,v,v,flow top,347.92,,,,,,,,,,,,,
3.4,mv/v,mv/v,flow top; pipe vesicles,351.32,,,,,,,,,,,,,
1.9,m/mv,m/mv,,353.22,,,,,,,,,,,,,
6,mv,mv,sub-ophitic; cm-scale vesicles,359.22,,,,,,,,,,,,,
4.6,v,v,flow top,363.82,,,,,,,,,,,,,
7.5,m,m,,371.32,,,,,,,,,,,,,
1.9,mv,mv,,373.22,,,,,,,,,,,,,
1.3,v,v,,374.52,,,,,,,,,,,,,
0.6,cover,cover,flow top (inferred),375.12,,,,,,,,,,,,,
5.6,m,m,,380.72,,,,,,,,,,,,,
5.6,m/mv,m/mv,,386.32,,,,,,,,,,,,,
3.8,mv,mv,,390.12,,,,,,,,,,,,,
15,cover,cover,,405.12,,,,,,,,,,,,,
1.9,mv,mv,,407.02,,,,,,,,,,,,,
1.3,v,v,flow top,408.32,,,,,,,,,,,,,
4.5,cover,cover,,412.82,,,,,,,,,,,,,
5,m,m,,417.82,,,,,,,,,,,,,
4.6,mv,mv,flow top,422.42,,,,,,,,,,,,,
0.4,ss,ss,,422.82,,,,,,,,,,,,,
18.8,m,m,,441.62,,,,,,,,,,,,,
4.4,mv,mv,,446.02,,,,,,,,,,,,,
3.8,v,v,flow top,449.82,,,,,,,,,,,,,
2,ss,ss,thickness varies from 0.4-3.7,451.82,,,,,,,,,,,,,
15,mv,mv,,466.82,,,,,,,,,,,,,
9.4,m,m,,476.22,,,,,,,,,,,,,
1.8,mv,mv,flow top,478.02,,,,,,,,,,,,,
3.8,m,m,,481.82,,,,,,,,,,,,,
2,v,v,flow top,483.82,,,,,,,,,,,,,
3.9,m/mv,m/mv,,487.72,,,,,,,,,,,,,
1.9,mv/v,mv/v,,489.62,,,,,,,,,,,,,
2.1,v,v,flow top,491.72,,,,,,,,,,,,,
0.6,ss,ss,,492.32,,,,,,,,,,,,,
71,rhyolite; rheoignimbrite,rhy,,563.32,calculate from GIS using 324-53 (dec-corrected) and ground distance of 89,,,,,,,,,,,,
