 ,,GPS_North (-90-90),GPS_East (0-360 or -180-180),Datum,,,,,,,,,,,,,
Summer 2016,,DDD.DDDDD,DDD.DDDDD,WGS84,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,TOP,NOTES,BEDFORMS,SAMPLE,LAYER,d13c,d18o,SAMP_HEIGHT,STRAT_EC,LAT,LON,,SITE,SITE_HEIGHT
1.02,m,m,,1.02,,,,,,,,,46.37435946,-90.63674225,,CF1,563.32
0.9,mv,mv,flow top?,1.92,,,,,,,,,,,,CF2,489.62
3.8,m,m,,5.72,,,,,,,,,,,,CF3,481.82
7,cover,cover,flow top?,12.72,,,,,,,,,,,,CF4,476.22
3.2,mv,mv,,15.92,,,,,,,,,,,,CF5,441.62
7,cover,cover,flow top (inferred),22.92,,,,,,,,,,,,CF6,422.42
3.8,m,m,qtz veins,26.72,,,,,,,,,,,,CF7,386.32
2,mv/v,mv/v,flow top,28.72,,,,,,,,,,,,CF8,373.22
1.9,mv,mv,,30.62,,,,,,,,,,,,CF9,359.22
5.7,mv/v,mv/v,flow top,36.32,,,,,,,,,,,,CF10,351.32
3.8,v,v,flow top,40.12,,,,,,,,,,,,CF11,347.52
7.6,mv/v,mv/v,,47.72,,,,,,,,,,,,CF12,341.72
0.9,v,v,flow top,48.62,,,,,,,,,,,,CF13,335.52
2.3,m,m,,50.92,,,,,,,,,,,,CF14,328.82
1.5,mv,mv,flow banding,52.42,,,,,,,,,,,,CF15,323.72
1.9,v,v,flow top,54.32,,,,,,,,,,,,CF16,308.62
1.9,m,m,flow banding,56.22,,,,,,,,,,,,CF17,299.02
1.3,v,v,flow top; flow banding,57.52,,,,,,,,,,,,CF18,273.92
2.7,m,m,,60.22,,,,,,,,,,,,CF19,270.02
1.9,cover,cover,,62.12,,,,,,,,,,,,CF20,257.52
1.9,v,v,,64.02,,,,,,,,,,,,CF21,238.02
7.6,cover,cover,flow top (inferred),71.62,,,,,,,,,,,,CF22,232.32
6.8,m,m,ophitic to sub-ophitic,78.42,,,,,,,,,,,,CF23,219.02
1.3,cover,cover,,79.72,,,,,,,,,,,,CF24,214.92
2,mv,mv,,81.72,,,,,,,,,,,,CF25,192.32
8.9,cover,cover,flow top (inferred),90.62,,,,,,,,,,,,CF26,178.12
14.8,m,m,ophitic; columnar jointing; flow banding,105.42,,,,,,,,,46.37197497,-90.63216171,,CF27,105.42
71,cover,cover,flow top (inferred),176.42,calculate from GIS using 324-53 (dec-corrected),,,,,,,,,,,CF28,78.42
1.7,m,m,,178.12,,,,,,,,,46.37223477,-90.63375696,,CF29,60.22
2.7,mv,mv,qtz veins; clastic dikes,180.82,,,,,,,,,,,,CF30,56.22
5.7,v,v,flow top; flow banding; chlorite amygdules,186.52,,,,,,,,,,,,CF31,52.42
3.9,m,m,,190.42,,,,,,,,,,,,CF32,47.72
1.9,mv,mv,,192.32,,,,,,,,,,,,CF33,40.12
0.8,mv/v,mv/v,,193.12,,,,,,,,,,,,CF34,36.32
1.2,v,v,flow top; flow banding,194.32,,,,,,,,,,,,CF35,26.72
