,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB12-,,,,,,,,,,,,,,,,,,,,,
site_name,GB12-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148524,(¥_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.477115,(¥_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,233.8,22,7.0,22.2,9.5,yes,321,-5,2015,7,31,15,49,1.0,nan,22.2,[358.53364156363739; 73.210520994644284; 56267.61920416473],-1.46635843636,0.2,22.2,20.7
2a,sun compass orientation,233.9,93,4.0,22.2,9.5,yes,30,-5,2015,7,31,15,56,1.0,nan,93.1,[358.53364075437742; 73.210520195171028; 56267.61764759291],-1.46635924562,0.1,93.1,20.7
3a,sun compass orientation,233.85,72,9.0,22.2,9.5,yes,8,-5,2015,7,31,16,4,1.0,nan,73.2,[358.5336398295089; 73.210519281487251; 56267.61586865368],-1.46636017049,1.2,73.2,20.7
4a,sun compass orientation,233.8,74,10.0,22.2,9.5,yes,7,-5,2015,7,31,16,7,1.0,nan,72.9,[358.53363948268321; 73.210518938855813; 56267.615201551474],-1.46636051732,-1.1,72.9,20.7
5a,sun compass orientation,233.85,135,12.0,22.2,9.5,yes,68,-5,2015,7,31,16,14,1.0,nan,135.7,[358.53363867342324; 73.210518139382387; 56267.613644979661],-1.46636132658,0.7,135.7,20.7
6a,sun compass orientation,233.75,125,17.0,22.2,9.5,yes,56,-5,2015,7,31,16,18,1.0,nan,124.6,[358.53363821098907; 73.210517682540427; 56267.61275551009],-1.46636178901,-0.4,124.6,20.7
7a,sun compass orientation,233.9,126,13.0,22.2,9.5,yes,56,-5,2015,7,31,16,19,1.0,nan,124.9,[358.53363809538047; 73.210517568329934; 56267.612533142674],-1.46636190462,-1.1,124.9,20.7
8a,sun compass orientation,233.95,3,16.0,22.2,9.5,yes,292,-5,2015,7,31,16,24,1.0,nan,2.0,[358.5336375173377; 73.210516997277438; 56267.611421305672],-1.46636248266,-1.0,2.0,20.7
