,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB10-,,,,,,,,,,,,,,,,,,,,,
site_name,GB10-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148934,(•_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.477119,(•_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,229.5,170,24.0,22.2,9.5,yes,146.0,-5.0,2015.0,7.0,31.0,14.0,5.0,1.0,nan,170.9,[358.53358507186232; 73.210823576348417; 56267.787997459156],-1.46641492814,0.9,170.9,20.7
2a,sun compass orientation,229.75,145,28.0,22.2,9.5,yes,116.0,-5.0,2015.0,7.0,31.0,14.0,16.0,1.0,nan,145.6,[358.53358380020961; 73.210822320028797; 56267.785551422639],-1.46641619979,0.6,145.6,20.7
3a,sun compass orientation,229.95,240,35.0,22.2,9.5,yes,211.0,-5.0,2015.0,7.0,31.0,14.0,19.0,1.0,nan,241.9,[358.53358345339524; 73.210821977396122; 56267.784884321758],-1.4664165466,1.9,241.9,20.7
4a,sun compass orientation,229.95,308,11.0,22.2,9.5,yes,276.0,-5.0,2015.0,7.0,31.0,14.0,22.0,1.0,nan,308.1,[358.53358310658086; 73.210821634763462; 56267.784217220891],-1.46641689342,0.1,308.1,20.7
5a,sun compass orientation,230.25,205,13.0,22.2,9.5,yes,171.0,-5.0,2015.0,7.0,31.0,14.0,26.0,1.0,nan,204.7,[358.5335826441617; 73.210821177919897; 56267.783327753095],-1.46641735584,-0.3,204.7,20.7
6a,sun compass orientation,230.3,192,4.0,22.2,9.5,yes,154.0,-5.0,2015.0,7.0,31.0,14.0,28.0,1.0,nan,188.5,[358.53358241295211; 73.210820949498142; 56267.782883019208],-1.46641758705,-3.5,188.5,20.7
7a,sun compass orientation,230.95,258,44.0,22.2,9.5,yes,221.0,-5.0,2015.0,7.0,31.0,14.0,31.0,1.0,nan,256.7,[358.5335820661378; 73.21082060686544; 56267.782215918363],-1.46641793386,-1.3,256.7,20.7
8a,mag compass orientation (IGRF corrected),230.5,175,26.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,31.0,1.0,1.0,1.0,nan,nan,[358.53367570621236; 73.21091311737429; 56267.962333228097],-1.46632429379,insufficient data,173.5,20.7
9a,mag compass orientation (IGRF corrected),230.35,225,13.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,31.0,1.0,1.0,1.0,nan,nan,[358.53367570621236; 73.21091311737429; 56267.962333228097],-1.46632429379,insufficient data,223.5,20.7
10a,sun compass orientation,230.35,327,9.0,22.2,9.5,yes,285.0,-5.0,2015.0,7.0,31.0,14.0,49.0,1.0,nan,327.5,[358.53357998525183; 73.210818551069138; 56267.778213313257],-1.46642001475,0.5,327.5,20.7
