,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB6-,,,,,,,,,,,,,,,,,,,,,
site_name,GB6-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.15336,(•_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.485621,(•_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,81.8,304,14.0,22.2,9.5,yes,210,-5,2015,7,29,18,30,1.0,nan,294.6,[358.54065169951429; 73.214188451966308; 56270.085002919579],-1.45934830049,-9.4,294.6,20.7
2a,sun compass orientation,81.85,287,8.0,22.2,9.5,yes,189,-5,2015,7,29,18,33,1.0,nan,273.1,[358.5406513525042; 73.214188109407061; 56270.084335810381],-1.4593486475,-13.9,273.1,20.7
3a,sun compass orientation,82.4,297,49.0,22.2,9.5,yes,101,-5,2015,7,29,18,36,1.0,nan,184.5,[358.54065100549417; 73.214187766847786; 56270.083668701205],-1.45934899451,-112.5,184.5,20.7
4a,sun compass orientation,82.45,8,9.0,22.2,9.5,yes,269,-5,2015,7,29,18,39,1.0,nan,352.0,[358.54065065848414; 73.214187424288511; 56270.083001592007],-1.45934934152,344.0,352.0,20.7
5a,sun compass orientation,82.35,127,74.0,22.2,9.5,yes,30,-5,2015,7,29,18,42,1.0,nan,112.5,[358.54065031147405; 73.214187081729222; 56270.082334482831],-1.45934968853,-14.5,112.5,20.7
6a,sun compass orientation,82.45,35,65.0,22.2,9.5,yes,294,-5,2015,7,29,18,46,1.0,nan,15.8,[358.54064984879403; 73.214186624983498; 56270.081445003947],-1.45935015121,-19.2,15.8,20.7
7a,sun compass orientation,82.15,18,17.0,22.2,9.5,yes,276,-5,2015,7,29,18,50,1.0,nan,357.1,[358.54064938611401; 73.214186168237717; 56270.080555524997],-1.45935061389,339.1,357.1,20.7
8a,sun compass orientation,82.25,8,19.0,22.2,9.5,yes,266,-5,2015,7,29,18,53,1.0,nan,346.6,[358.54064903910398; 73.214185825678427; 56270.07988841585],-1.4593509609,338.6,346.6,20.7
9a,sun compass orientation,82.2,324,12.0,22.2,9.5,yes,221,-5,2015,7,29,18,57,1.0,nan,300.9,[358.54064857642396; 73.214185368932661; 56270.078998936951],-1.45935142358,-23.1,300.9,20.7
10a,sun compass orientation,82.3,43,58.0,22.2,9.5,yes,271,-5,2015,7,29,19,3,1.0,nan,349.8,[358.54064788240396; 73.214184683813968; 56270.077664718636],-1.4593521176,306.8,349.8,20.7
