tab	specimens
citations	sample	specimen	volume	weight
This study	GB6-1	GB6-1a		 1.000e-03
This study	GB6-2	GB6-2a		 1.000e-03
This study	GB6-3	GB6-3a		 1.000e-03
This study	GB6-4	GB6-4a		 1.000e-03
This study	GB6-5	GB6-5a		 1.000e-03
This study	GB6-6	GB6-6a		 1.000e-03
This study	GB6-7	GB6-7a		 1.000e-03
This study	GB6-8	GB6-8a		 1.000e-03
This study	GB6-9	GB6-9a		 1.000e-03
This study	GB6-10	GB6-10a		 1.000e-03
