,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB17-,,,,,,,,,,,,,,,,,,,,,
site_name,GB17-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148139,(ë_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.474977,(ë_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,245,348,23.0,22.2,9.5,yes,11.0,-5.0,2015.0,8.0,1.0,12.0,21.0,1.0,nan,346.9,[358.5316706244007; 73.210123452564815; 56267.173207226711],-1.4683293756,-1.1,346.9,20.7
2a,sun compass orientation,245,328,21.0,22.2,9.5,yes,350.0,-5.0,2015.0,8.0,1.0,12.0,25.0,1.0,nan,327.7,[358.53167016206095; 73.21012299569243; 56267.172317763834],-1.46832983794,-0.3,327.7,20.7
3a,sun compass orientation,245.6,12,10.0,22.2,9.5,yes,45.0,-5.0,2015.0,8.0,1.0,12.0,9.0,1.0,nan,15.8,[358.53167201141997; 73.210124823181928; 56267.175875615336],-1.46832798858,3.8,15.8,20.7
4a,sun compass orientation,245.6,332,7.0,22.2,9.5,yes,357.0,-5.0,2015.0,8.0,1.0,12.0,6.0,1.0,nan,326.5,[358.53167235817477; 73.210125165836189; 56267.176542712499],-1.46832764183,-5.5,326.5,20.7
5a,mag compass orientation (IGRF corrected),244.9,207,68.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53174922229891; 73.210201120647511; 56267.324415971729],-1.4682507777,insufficient data,205.5,20.7
6a,mag compass orientation (IGRF corrected),244.8,188,98.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53174922229891; 73.210201120647511; 56267.324415971729],-1.4682507777,insufficient data,186.5,20.7
7a,mag compass orientation (IGRF corrected),244.9,220,65.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53174922229891; 73.210201120647511; 56267.324415971729],-1.4682507777,insufficient data,218.5,20.7
8a,mag compass orientation (IGRF corrected),244.95,201,61.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53174922229891; 73.210201120647511; 56267.324415971729],-1.4682507777,insufficient data,199.5,20.7
