tab	specimens
citations	sample	specimen	volume	weight
This study	GB9-1	GB9-1a		 1.000e-03
This study	GB9-2	GB9-2a		 1.000e-03
This study	GB9-3	GB9-3a		 1.000e-03
This study	GB9-4	GB9-4a		 1.000e-03
This study	GB9-5	GB9-5a		 1.000e-03
This study	GB9-6	GB9-6a		 1.000e-03
This study	GB9-7	GB9-7a		 1.000e-03
This study	GB9-8	GB9-8a		 1.000e-03
This study	GB9-9	GB9-9a		 1.000e-03
