tab	specimens
citations	sample	specimen	volume	weight
This study	GB2-1	GB2-1a		 1.000e-03
This study	GB2-2	GB2-2a		 1.000e-03
This study	GB2-3	GB2-3a		 1.000e-03
This study	GB2-4	GB2-4a		 1.000e-03
This study	GB2-5	GB2-5a		 1.000e-03
This study	GB2-6	GB2-6a		 1.000e-03
This study	GB2-7	GB2-7a		 1.000e-03
This study	GB2-8	GB2-8a		 1.000e-03
