tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-18 10:24:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.4	038.0		g	 34.6 	9.54e-06	3	1	4.15e-07	3.80e-07	1.03e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-18 17:37:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	037.7		g	 33.0 	9.85e-06	4	1	1.69e-07	1.07e-07	1.06e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-19 13:26:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	038.7		g	 32.5 	9.76e-06	5	1	3.05e-07	2.70e-07	1.06e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-25 13:10:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	039.1		g	 32.5 	8.36e-06	6	1	1.96e-07	1.22e-07	1.36e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-26 10:06:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	036.3		g	 32.2 	7.30e-06	7	1	1.95e-07	1.42e-07	1.04e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-04-26 17:36:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	039.9		g	 32.0 	6.79e-06	8	1	1.57e-07	1.10e-07	9.71e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-02 14:27:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	038.4		g	 32.0 	6.59e-06	9	1	1.34e-07	1.30e-07	6.92e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-02 20:51:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	038.2		g	 32.2 	6.46e-06	10	1	9.39e-08	8.39e-08	9.40e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-03 19:43:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	040.6		g	 32.1 	6.19e-06	11	1	8.58e-08	7.02e-08	8.08e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-12 15:25:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	036.5		g	 32.2 	5.78e-06	12	1	1.03e-07	6.46e-08	8.20e-08	u	273	0	0	0.00	-90.00	  823.0
