tab	specimens
citations	sample	specimen	volume	weight
This study	GB13-1	GB13-1a		 1.000e-03
This study	GB13-2	GB13-2a		 1.000e-03
This study	GB13-3	GB13-3a		 1.000e-03
This study	GB13-4	GB13-4a		 1.000e-03
This study	GB13-5	GB13-5a		 1.000e-03
This study	GB13-6	GB13-6a		 1.000e-03
This study	GB13-7	GB13-7a		 1.000e-03
This study	GB13-8	GB13-8a		 1.000e-03
