zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1092.9176,0.844994279,1091.845164,3.764085603,0.499629752,-0.098222341,yes
z2      ,1093.351879,1.023291767,1091.300978,4.876884942,0.506561876,-0.187931759,yes
z4      ,1094.516507,1.274182098,1097.201376,9.594874991,0.358493682,0.244701568,yes
z6      ,1093.618017,1.823082731,1101.35348,10.2767693,0.42346015,0.702359654,yes
z9      ,1093.982532,1.50419191,1101.702901,17.50787047,0.31896716,0.319,yes
z10     ,1093.39512,0.784718176,1096.738529,4.109120884,0.408898435,0.409,yes
