zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1105.41,0.63,1106.26,2.64,0.59,0.090233345,yes
z2      ,1104.92,1.45,1109.75,4.12,0.62,0.44956863,yes
z3      ,1104.71,1.91,1107.22,6.03,0.57,0.242576825,yes
z4      ,1105.66,1.29,1106.87,5.04,0.51,0.120662604,yes
z5      ,1106.50,2.21,1108.35,5.71,0.64,0.178846622,yes
z6      ,1104.40,2.39,1106.22,3.64,0.80,0.176332961,yes
z7      ,1104.46,0.67,1106.85,2.05,0.70,0.230708464,yes
z8      ,1105.05,0.71,1105.55,2.64,0.60,0.05578161,yes
z9      ,1106.00,0.98,1109.60,4.40,0.50,0.336970329,yes
