zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1088.73,0.59,1094.60,1.93,0.71,1.925457162,no
z2      ,1093.59,0.76,1097.87,2.22,0.67,2.223789904,yes
z3      ,1093.14,0.85,1094.18,2.84,0.62,2.837373429,yes
z4      ,1090.97,0.50,1095.65,1.22,0.85,1.222628451,no
z5      ,1093.23,1.37,1095.11,3.77,0.65,3.774661598,yes
z6      ,1095.63,0.57,1100.78,4.11,0.47,4.10922732,no
