zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1095.74,0.71,1100.00,3.45,0.57,0.41,yes
z2      ,1097.33,0.71,1099.23,2.79,0.63,0.19,no
z4      ,1096.27,0.59,1099.51,2.37,0.63,0.32,yes
z5      ,1096.44,0.57,1100.29,2.72,0.61,0.37,yes
z6      ,1096.08,0.70,1096.94,1.88,0.72,0.10,yes
