zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1098.337682,0.905348034,1100.950665,2.076548784,0.716380504,0.255089888,yes
z2      ,1098.17126,1.129440418,1102.307186,3.255756983,0.660775117,0.392760904,yes
z4      ,1097.603885,0.910010752,1102.850095,1.928044617,0.785595575,0.493157624,yes
z5      ,1098.648832,0.766055169,1099.693539,2.164019172,0.679579909,0.112533061,yes
