zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z12     ,1096.26,0.64,1099.20,3.65,0.52,0.29,yes
z13     ,1097.18,0.95,1101.59,3.49,0.57,0.42,yes
z14     ,1096.88,0.70,1100.68,3.55,0.53,0.37,yes
z15     ,1096.81,0.80,1099.77,6.97,0.39,0.29,yes
z16     ,1096.72,0.67,1100.51,4.23,0.47,0.36,yes
z17     ,1095.85,0.99,1102.79,9.86,0.33,0.65,yes
z19     ,1098.58,2.72,1111.65,18.86,0.38,1.20,no
z20     ,1097.46,0.73,1099.74,3.17,0.55,0.23,yes
