zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1092.64,0.94,1094.63,4.53,0.49,0.200621887,yes
z2      ,1091.62,0.95,1095.8,4.28,0.5,0.392618214,yes
z3      ,1091.65,0.75,1090.92,3.42,0.58,-0.052849588,yes
z4      ,1091.31,0.49,1094.03,1.22,0.85,0.262340301,yes
z5      ,1091.71,0.52,1092.61,1.55,0.76,0.096466324,yes
z6,1091.32,0.67,1096.67,4.24,0.48,,yes
