zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
PR1z1   ,1094.19,1.14,1098.08,6.71,0.45,,yes
PR1z3   ,1096.29,1.53,1101.85,8.26,0.44,,no
PR1z4   ,1094.66,0.69,1098.65,3.91,0.50,,yes
PR2z1      ,1094.34,0.70,1093.89,5.69,0.40,,yes
PR2z2      ,1094.47,0.77,1094.66,1.65,0.78,,yes
PR2z4      ,1093.63,1.09,1097.33,4.26,0.57,,yes
PR2z6      ,1093.48,0.87,1092.56,4.15,0.52,,yes
PR2z7      ,1093.33,0.49,1097.41,1.58,0.77,,yes
