,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB14-,,,,,,,,,,,,,,,,,,,,,
site_name,GB14-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148462,(•_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.476744,(•_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,236.8,138,49.0,22.2,9.5,yes,60.0,-5.0,2015.0,7.0,31.0,17.0,5.0,1.0,nan,139.0,[358.53331491814077; 73.210472247720205; 56267.57509255172],-1.46668508186,1.0,139.0,20.7
2a,sun compass orientation,237.1,55,29.0,22.2,9.5,yes,335.0,-5.0,2015.0,7.0,31.0,17.0,9.0,1.0,nan,54.8,[358.53331445572275; 73.210471790873555; 56267.574203083197],-1.46668554428,-0.2,54.8,20.7
3a,sun compass orientation,237.2,113,68.0,22.2,9.5,yes,34.0,-5.0,2015.0,7.0,31.0,17.0,11.0,1.0,nan,114.2,[358.53331422451367; 73.21047156245028; 56267.57375834891],-1.46668577549,1.2,114.2,20.7
4a,sun compass orientation,237.05,165,12.0,22.2,9.5,yes,85.0,-5.0,2015.0,7.0,31.0,17.0,13.0,1.0,nan,165.6,[358.53331399330472; 73.21047133402692; 56267.573313614645],-1.4666860067,0.6,165.6,20.7
5a,sun compass orientation,237.45,353,9.0,22.2,9.5,yes,271.0,-5.0,2015.0,7.0,31.0,17.0,16.0,1.0,nan,352.2,[358.53331364649114; 73.210470991391901; 56267.572646513225],-1.46668635351,-0.8,352.2,20.7
6a,sun compass orientation,237.45,6,9.0,22.2,9.5,yes,283.0,-5.0,2015.0,7.0,31.0,17.0,18.0,1.0,nan,4.6,[358.53331341528212; 73.210470762968583; 56267.572201778996],-1.46668658472,-1.4,4.6,20.7
7a,mag compass orientation (IGRF corrected),237.7,1,9.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,31.0,1.0,1.0,1.0,nan,nan,[358.53342636117992; 73.210582347309057; 56267.789454583384],-1.46657363882,insufficient data,-0.5,20.7
