tab	specimens
analysts	citation	sample	specimen	volume	weight
	This study	GB15-1	GB15-1a		 1.000e-03
	This study	GB15-2	GB15-2a		 1.000e-03
	This study	GB15-3	GB15-3a		 1.000e-03
	This study	GB15-4	GB15-4a		 1.000e-03
	This study	GB15-5	GB15-5a		 1.000e-03
	This study	GB15-6	GB15-6a		 1.000e-03
	This study	GB15-7	GB15-7a		 1.000e-03
	This study	GB15-8	GB15-8a		 1.000e-03
