r,g,b,COLOUR,,width,GRAIN_SIZE
200,134,210,purple,,0.4,v
255,211,220,tuff,,1,tuff
255,255,255,cover,,0.2,cover
43,182,115,green,,0.6,mv
130,170,255,purple-green,,0.5,agglom
255,242,185,beige,,0.35,slt
231,60,73,brick red,,0.8,rhyolite
0,0,0,black,,0.8,m
80,120,200,brick red-green,,1,sill
255,0,255,swatch,,0.7,obsedian
147,149,152,grey,,0.8,dacite
0,110,0,sill,,0.5,fss
251,176,64,orange,,1,di
,,,,,0.4,ri
