tab	specimens
analysts	citation	sample	specimen	volume	weight
	This study	GB16-1	GB16-1a		 1.000e-03
	This study	GB16-2	GB16-2a		 1.000e-03
	This study	GB16-3	GB16-3a		 1.000e-03
	This study	GB16-4	GB16-4a		 1.000e-03
	This study	GB16-5	GB16-5a		 1.000e-03
	This study	GB16-6	GB16-6a		 1.000e-03
	This study	GB16-7	GB16-7a		 1.000e-03
	This study	GB16-8	GB16-8a		 1.000e-03
