tab	sites
citations	location	site	lat	lon
This study	Puff Island	Puf1-1	48.7	-88.0
This study	Puff Island	Puf1-2	48.7	-88.0
This study	Puff Island	Puf1-3	48.7	-88.0
This study	Puff Island	Puf1-4	48.7	-88.0
This study	Puff Island	Puf1-5	48.7	-88.0
This study	Puff Island	Puf1-6	48.7	-88.0
This study	Puff Island	Puf1-7	48.7	-88.0
This study	Puff Island	Puf1-8	48.7	-88.0
