tab	specimens
citations	sample	specimen	volume	weight
This study	GB4-1	GB4-1a		 1.000e-03
This study	GB4-2	GB4-2a		 1.000e-03
This study	GB4-3	GB4-3a		 1.000e-03
This study	GB4-4	GB4-4a		 1.000e-03
This study	GB4-5	GB4-5a		 1.000e-03
This study	GB4-6	GB4-6a		 1.000e-03
This study	GB4-7	GB4-7a		 1.000e-03
This study	GB4-8	GB4-8a		 1.000e-03
