,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB5-,,,,,,,,,,,,,,,,,,,,,
site_name,GB5-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.154165,(¥_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.487777,(¥_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),41.45,261,45.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,259.5,20.7
2a,mag compass orientation (IGRF corrected),41.55,142,48.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,140.5,20.7
3a,mag compass orientation (IGRF corrected),42.2,150,44.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,148.5,20.7
4a,mag compass orientation (IGRF corrected),42.3,330,19.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,328.5,20.7
5a,mag compass orientation (IGRF corrected),42.3,301,38.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,299.5,20.7
6a,mag compass orientation (IGRF corrected),42.3,350,25.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,348.5,20.7
7a,mag compass orientation (IGRF corrected),42.2,60,62.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,58.5,20.7
8a,mag compass orientation (IGRF corrected),42.1,18,40.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,29.0,1.0,1.0,1.0,nan,nan,[358.54254441549648; 73.214861211842063; 56270.63873336187],-1.4574555845,insufficient data,16.5,20.7
