tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-08 17:40:15	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.4	092.1		g	 40.8 	2.20e-06	1	1	4.11e-08	2.87e-08	2.22e-08	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-11 18:03:24	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	092.5		g	 40.8 	2.18e-06	2	1	3.43e-08	2.69e-08	2.21e-08	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-18 10:34:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	089.1		g	 40.5 	2.17e-06	3	1	4.71e-08	2.70e-08	2.24e-08	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-18 17:48:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	085.6		g	 40.0 	2.15e-06	4	1	6.28e-08	2.48e-08	2.01e-08	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-19 13:35:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	087.1		g	 39.7 	2.06e-06	5	1	4.03e-08	2.39e-08	2.06e-08	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-25 13:21:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	085.3		g	 39.7 	1.91e-06	6	1	8.24e-08	3.20e-08	2.80e-08	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-26 10:19:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.8	085.6		g	 39.7 	1.72e-06	7	1	1.38e-07	3.30e-08	2.37e-08	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-04-26 17:47:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.4	085.3		g	 39.5 	1.59e-06	8	1	9.18e-08	1.88e-08	1.96e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-02 14:40:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	087.5		g	 39.3 	1.51e-06	9	1	2.51e-08	1.99e-08	1.59e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-02 21:02:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	086.4		g	 39.3 	1.42e-06	10	1	2.69e-08	2.09e-08	1.81e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-03 19:58:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	088.9		g	 39.4 	1.30e-06	11	1	7.01e-08	2.26e-08	1.72e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-12 15:38:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	088.9		g	 39.6 	1.13e-06	12	1	4.94e-08	1.82e-08	1.58e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-16 13:16:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	086.4		g	 39.6 	1.01e-06	13	1	2.00e-08	1.54e-08	1.31e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-16 19:18:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	086.5		g	 39.7 	9.43e-07	14	1	2.09e-08	1.51e-08	1.29e-08	u	273	0	0	0.00	-90.00	  843.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-17 15:34:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	087.8		g	 39.6 	8.92e-07	15	1	1.66e-08	1.31e-08	1.12e-08	u	273	0	0	0.00	-90.00	  848.0
This study	Puff Island	Puf2-1	Puf2-1	Puf2-1a	Puf2-1a:LP-DIR-T	hargrave 2016-05-18 12:26:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	088.6		g	 39.8 	8.59e-07	16	1	2.92e-08	1.37e-08	1.11e-08	u	273	0	0	0.00	-90.00	  853.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-08 17:42:08	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	311.7		g	 42.2 	2.89e-06	1	1	6.86e-08	7.71e-08	2.22e-08	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-11 18:05:17	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	311.7		g	 42.1 	2.87e-06	2	1	8.06e-08	8.48e-08	2.25e-08	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-18 10:36:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	312.3		g	 41.4 	2.88e-06	3	1	1.17e-07	1.16e-07	2.66e-08	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-18 17:49:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.8	310.2		g	 39.2 	2.86e-06	4	1	1.38e-07	1.25e-07	2.51e-08	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-19 13:37:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	314.1		g	 38.3 	2.77e-06	5	1	8.08e-08	7.61e-08	2.74e-08	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-25 13:23:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	313.2		g	 38.3 	2.58e-06	6	1	8.79e-08	9.17e-08	3.11e-08	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-26 10:21:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	311.1		g	 38.0 	2.32e-06	7	1	4.78e-08	4.96e-08	2.46e-08	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-04-26 17:49:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	311.4		g	 37.7 	2.12e-06	8	1	2.56e-08	2.82e-08	2.12e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-02 14:42:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	313.0		g	 37.6 	2.00e-06	9	1	5.09e-08	4.45e-08	2.03e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-02 21:04:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	312.4		g	 37.8 	1.85e-06	10	1	5.15e-08	5.16e-08	1.75e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-03 20:00:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	313.5		g	 37.7 	1.66e-06	11	1	2.19e-08	2.25e-08	1.55e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-12 15:40:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	310.8		g	 37.8 	1.33e-06	12	1	3.73e-08	3.49e-08	1.27e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-16 13:18:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	313.5		g	 38.0 	1.10e-06	13	1	2.55e-08	3.04e-08	1.06e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-16 19:20:01	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	312.0		g	 38.1 	9.96e-07	14	1	1.74e-08	2.10e-08	8.91e-09	u	273	0	0	0.00	-90.00	  843.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-17 15:36:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	311.5		g	 38.4 	9.40e-07	15	1	2.48e-08	2.49e-08	8.98e-09	u	273	0	0	0.00	-90.00	  848.0
This study	Puff Island	Puf2-2	Puf2-2	Puf2-2a	Puf2-2a:LP-DIR-T	hargrave 2016-05-18 12:28:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	313.9		g	 38.3 	9.01e-07	16	1	1.97e-08	2.26e-08	9.49e-09	u	273	0	0	0.00	-90.00	  853.0
