tab	specimens
citations	sample	specimen	volume	weight
This study	GB8-1	GB8-1a		 1.000e-03
This study	GB8-2	GB8-2a		 1.000e-03
This study	GB8-3	GB8-3a		 1.000e-03
This study	GB8-4	GB8-4a		 1.000e-03
This study	GB8-5	GB8-5a		 1.000e-03
This study	GB8-6	GB8-6a		 1.000e-03
This study	GB8-7	GB8-7a		 1.000e-03
This study	GB8-8	GB8-8a		 1.000e-03
This study	GB8-9	GB8-9a		 1.000e-03
