tab	sites
citations	location	site	lat	lon
This study	Agate Point	AP3-1	48.6	-88.2
This study	Agate Point	AP3-2	48.6	-88.2
This study	Agate Point	AP3-3	48.6	-88.2
This study	Agate Point	AP3-4	48.6	-88.2
This study	Agate Point	AP3-5	48.6	-88.2
This study	Agate Point	AP3-6	48.6	-88.2
This study	Agate Point	AP3-7	48.6	-88.2
This study	Agate Point	AP3-8	48.6	-88.2
