,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB9-,,,,,,,,,,,,,,,,,,,,,
site_name,GB9-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.149331,(¥_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.4773,(¥_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,226.35,38,22.0,22.2,9.5,yes,43,-5,2015,7,31,13,0,1.0,nan,37.0,[358.53368347461827; 73.211111911137792; 56267.949325271671],-1.46631652538,-1.0,37.0,20.7
2a,sun compass orientation,226.15,212,31.0,22.2,9.5,yes,211,-5,2015,7,31,13,9,1.0,nan,209.4,[358.53368243418822; 73.211110883241275; 56267.947323971632],-1.46631756581,-2.6,209.4,20.7
3a,sun compass orientation,226.5,354,9.0,22.2,9.5,yes,351,-5,2015,7,31,13,12,1.0,nan,350.9,[358.53368208737822; 73.211110540609099; 56267.946656871645],-1.46631791262,-3.1,350.9,20.7
4a,sun compass orientation,226.55,46,25.0,22.2,9.5,yes,41,-5,2015,7,31,13,21,1.0,nan,45.3,[358.53368104694823; 73.211109512712483; 56267.9446555717],-1.46631895305,-0.7,45.3,20.7
5a,sun compass orientation,226.55,31,19.0,22.2,9.5,yes,21,-5,2015,7,31,13,32,1.0,nan,30.6,[358.53367977531161; 73.211108256394269; 56267.942209538356],-1.46632022469,-0.4,30.6,20.7
6a,sun compass orientation,226.6,67,20.0,22.2,9.5,yes,52,-5,2015,7,31,13,43,1.0,nan,66.8,[358.53367850367511; 73.211107000075941; 56267.939763505128],-1.46632149632,-0.2,66.8,20.7
7a,sun compass orientation,226.65,42,19.0,22.2,9.5,yes,25,-5,2015,7,31,13,46,1.0,nan,41.2,[358.53367815686516; 73.211106657443693; 56267.939096405149],-1.46632184313,-0.8,41.2,20.7
8a,sun compass orientation,226.5,32,19.0,22.2,9.5,yes,12,-5,2015,7,31,13,52,1.0,nan,31.0,[358.53367746324528; 73.21110597217907; 56267.937762205162],-1.46632253675,-1.0,31.0,20.7
9a,sun compass orientation,226.15,18,24.0,22.2,9.5,yes,356,-5,2015,7,31,13,58,1.0,nan,17.8,[358.53367676962546; 73.211105286914446; 56267.936428005269],-1.46632323037,-0.2,17.8,20.7
