tab	specimens
citations	sample	specimen	volume	weight
This study	GB7-1	GB7-1a		 1.000e-03
This study	GB7-2	GB7-2a		 1.000e-03
This study	GB7-3	GB7-3a		 1.000e-03
This study	GB7-4	GB7-4a		 1.000e-03
This study	GB7-5	GB7-5a		 1.000e-03
This study	GB7-6	GB7-6a		 1.000e-03
This study	GB7-7	GB7-7a		 1.000e-03
This study	GB7-8	GB7-8a		 1.000e-03
This study	GB7-9	GB7-9a		 1.000e-03
This study	GB7-10	GB7-10a		 1.000e-03
