 ,,GPS_North (-90-90),GPS_East (0-360 or -180-180),Datum,,,,,,,
07/26/2014-07/27/2014,,DDD.DDDDD,DDD.DDDDD,WGS84,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,TOP,NOTES,BEDFORMS,SAMPLE,LAYER,d13c,d18o,SAMP_HEIGHT,STRAT_EC
4.7,m,m,,AP1,,,,,,,4.7
0.3,mv,mv,,,,,,,,,5
3.3,cover,cover,,,,,,,,,8.3
0.4,mv,mv,,,,,,,,,8.7
0.4,v,v,flow top,,,,,,,,9.1
4.7,m,m,,AP2,,,,,,,13.8
4.2,mv,mv,,,,,,,,,18
2,cover,cover,,,,,,,,,20
19.4,m,m,,AP3,,,,,,,39.4
6.2,cover,cover,,,,,,,,,45.6
1.2,v,v,flow top,,,,,,,,46.8
1.8,m,m,,AP4,,,,,,,48.6
0.7,mv,mv,,,,,,,,,49.3
0.5,v,v,flow top,,,,,,,,49.8
0.3,slt,slt,,,,,,,,,50.1
0.2,mv,mv,,,,,,,,,50.3
0.2,mv,mv,,,,,,,,,50.5
0.2,v,v,flow top,,,,,,,,50.7
1.7,mv,mv,,,,,,,,,52.4
0.8,v,v,flow top,,,,,,,,53.2
0.1,slt,slt,,,,,,,,,53.3
2.1,m,m,,,,,,,,,55.4
9.6,mv,mv,,,,,,,,,65
2.9,v,v,,,,,,,,,67.9
1.1,agglom,agglom,,,,,,,,,69
1.9,cover,cover,,,,,,,,,70.9
11,rhyolite,rhyolite,,,,,,,,,81.9
3,rhyolite,rhyolite,,,,,,,,,84.9
14.1,rhyolite,rhyolite,,,,,,,,,99
8.5,rhyolite,rhyolite,,,,,,,,,107.5
39,cover,cover,,,,,,,,,146.5
2.4,rhyolite,rhyolite,,,,,,,,,148.9
2.6,cover,cover,,,,,,,,,151.5
1.7,rhyolite,rhyolite,,,,,,,,,153.2
2.6,cover,cover,,,,,,,,,155.8
7,rhyolite,rhyolite,,,,,,,,,162.8
3.4,cover,cover,,,,,,,,,166.2
32.6,rhyolite,rhyolite,,,,,,,,,198.8
8.4,cover,cover,,,,,,,,,207.2
8.6,rhyolite,rhyolite,,,,,,,,,215.8
2.5,cover,cover,,,,,,,,,218.3
2.6,rhyolite,rhyolite,,,,,,,,,220.9
28,rhyolite,rhyolite,,,,,,,,,248.9
4,rhyolite,rhyolite,,,,,,,,,252.9
5.6,rhyolite,rhyolite,,,,,,,,,258.5
6.4,rhyolite,rhyolite,,,,,,,,,264.9
28.1,rhyolite,rhyolite,,,,,,,,,293
7.2,rhyolite,rhyolite,,,,,,,,,300.2
6.8,obsedian,obsedian,,,,,,,,,307
4.5,rhyolite,rhyolite,,,,,,,,,311.5
4.6,cover,cover,,,,,,,,,316.1
1.2,rhyolite,rhyolite,,,,,,,,,317.3
15.8,rhyolite,rhyolite,,,,,,,,,333.1
11.2,rhyolite,rhyolite,,,,,,,,,344.3
7.6,rhyolite,rhyolite,,,,,,,,,351.9
3.1,cover,cover,,,,,,,,,355
8.4,rhyolite,rhyolite,,,,,,,,,363.4
8.4,cover,cover,,,,,,,,,371.8
2.4,rhyolite,rhyolite,,,,,,,,,374.2
32.4,cover,cover,,,,,,,,,406.6
5.3,dacite,dacite,,,,,,,,,411.9
0.9,cover,cover,,,,,,,,,412.8
94.8,rhyolite,rhyolite,,,,,,,,,507.6
7.4,cover,cover,,,,,,,,,515
75.2,rhyolite,rhyolite,,estimated with GIS,,,,,,,590.2
2,mv,mv,,site 20 of Halls is from these basalts,,,,,,,592.2
1.2,v,v,,,,,,,,,593.4
1.1,m,m,,,,,,,,,594.5
0.3,mv,mv,,,,,,,,,594.8
2.2,v,v,,,,,,,,,597
0.4,m,m,,,,,,,,,597.4
1.1,cover,cover,,,,,,,,,598.5
1.2,v,v,,,,,,,,,599.7
1.9,m,m,,,,,,,,,601.6
1.2,mv,mv,,,,,,,,,602.8
0.7,v,v,,,,,,,,,603.5
0.9,m,m,,,,,,,,,604.4
1.4,mv,mv,,,,,,,,,605.8
3.4,v,v,,,,,,,,,609.2
