,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB15-,,,,,,,,,,,,,,,,,,,,,
site_name,GB15-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148164,(•_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.474965,(•_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),243.5,231,11.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53173413112137; 73.210219415110871; 56267.331766931711],-1.46826586888,insufficient data,229.5,20.7
2a,sun compass orientation,243.9,193,11.0,22.2,9.5,yes,223.0,-5.0,2015.0,8.0,1.0,10.0,33.0,1.0,nan,161.3,[358.53166801662582; 73.210154082536107; 56267.204573715593],-1.46833198337,-31.7,161.3,20.7
3a,mag compass orientation (IGRF corrected),244,112,13.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53173413112137; 73.210219415110871; 56267.331766931711],-1.46826586888,insufficient data,110.5,20.7
4a,sun compass orientation,243.15,127,24.0,22.2,9.5,yes,182.0,-5.0,2015.0,8.0,1.0,10.0,50.0,1.0,nan,125.0,[358.53166605168758; 73.210152140828896; 56267.200793498836],-1.46833394831,-2.0,125.0,20.7
5a,sun compass orientation,243.25,139,26.0,22.2,9.5,yes,193.0,-5.0,2015.0,8.0,1.0,10.0,57.0,1.0,nan,138.0,[358.53166524259541; 73.210151341302293; 56267.199236939021],-1.4683347574,-1.0,138.0,20.7
6a,sun compass orientation,243.3,115,28.0,22.2,9.5,yes,168.0,-5.0,2015.0,8.0,1.0,11.0,2.0,1.0,nan,114.5,[358.53166466467246; 73.210150770211825; 56267.198125110575],-1.46833533533,-0.5,114.5,20.7
7a,sun compass orientation,243.45,9,18.0,22.2,9.5,yes,58.0,-5.0,2015.0,8.0,1.0,11.0,12.0,1.0,nan,7.7,[358.53166350882663; 73.210149628030848; 56267.195901453742],-1.46833649117,-1.3,7.7,20.7
8a,sun compass orientation,243.55,269,8.0,22.2,9.5,yes,317.0,-5.0,2015.0,8.0,1.0,11.0,17.0,1.0,nan,268.3,[358.53166293090368; 73.21014905694031; 56267.194789625319],-1.4683370691,-0.7,268.3,20.7
