tab	specimens
citations	sample	specimen	volume	weight
This study	GB12-1	GB12-1a		 1.000e-03
This study	GB12-2	GB12-2a		 1.000e-03
This study	GB12-3	GB12-3a		 1.000e-03
This study	GB12-4	GB12-4a		 1.000e-03
This study	GB12-5	GB12-5a		 1.000e-03
This study	GB12-6	GB12-6a		 1.000e-03
This study	GB12-7	GB12-7a		 1.000e-03
This study	GB12-8	GB12-8a		 1.000e-03
