localityName,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes,dec_corrected,strike_corr,dipAzimuth_corr,measurer
 Locality 1,681962.9437,5138138.323,46.37233824,-90.63408771, 15T,4,5,-1, Flow banding,53.4441452,343.8571777,253.8571777,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:05:07 2016, ,yes,,,LF
 Locality 1,681963.8088,5138139.817,46.37235145,-90.63407589, 15T,4,5,-1, Flow banding,54.3780632,351.7736816,261.7736816,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:05:02 2016, ,yes,,,LF
 Locality 1,681963.881,5138141.93,46.37237043,-90.63407413, 15T,4,5,-1, Flow banding,58.00748825,338.4713745,248.4713745,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:54 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,55.55392838,315.4606628,225.4606628,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:46 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,59.59695053,355.160614,265.160614,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:40 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,59.50971603,334.5426636,244.5426636,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:35 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,68.01768494,337.2093506,247.2093506,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:43 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,78.55313873,309.0515747,219.0515747,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:32 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,65.31395721,335.4668274,245.4668274,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:07 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,63.37278366,322.0531921,232.0531921,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:57 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,73.29456329,325.8865356,235.8865356,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:44 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,72.61290741,323.1796875,233.1796875,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:11 2016, ,yes,,,LF
 Locality 1,681766.7303,5138460.456,46.37528763,-90.63651167, 15T,12,10,-1, Bedding,69.24359894,326.5115051,236.5115051,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:00 2016, ,yes,,,LF
 Locality 1,681495.1841,5138557.485,46.37623302,-90.64000189, 15T,12,5,-1, Fault,87.6996994,278.4966126,188.4966126,-2.12169719, Nonesuch shale , Wed Jul 20 17:35:42 2016, ,yes,,,LF
 Locality 1,681500.2128,5138558.469,46.37624052,-90.63993618, 15T,12,5,-1, Fault,89,286.6697998,196.6697998,-2.12169719, Nonesuch shale , Wed Jul 20 17:27:20 2016, ,yes,,,LF
