localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes,dec_corrected,strike_corr,dipAzimuth_corr,measurer
c501376c4de00b49ca3fcd58569691a3, Locality 1, 868087e7d466e2d1c2f8fa0624bd8969,334376.1468,5173262.881,46.692414,-89.166158, 16T,230.190308,5,3, Bedding,6,267,177,-2.334, Jacobsville, Fri Aug 10 17:37:32 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, e5c7ac30b00b107c20b1a8faa8afe604,689689.1818,5148268.93,46.461304,-90.52961, 15T,286.011719,5,6, Bedding,82,308,218,-2.334, Nonesuch Formation, Tue Aug  7 17:17:38 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 817a850df9caa20b751ca25bd4cd3c81,689690.7603,5148268.719,46.461302,-90.52959, 15T,284.837708,5,6, Bedding,80,312,222,-2.334, Nonesuch Formation, Tue Aug  7 17:17:09 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 43c538f3cffd8df9042dc4dd116fd287,689699.3353,5148275.708,46.461362,-90.529475, 15T,274.238281,5,6, Bedding,83,315,225,-2.334, Nonesuch Formation, Tue Aug  7 17:12:04 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 50730b28d61398697fee41e65f94ede4,689698.7153,5148270.608,46.461316,-90.529485, 15T,281.898682,5,6, Bedding,81,315,225,-2.334, Nonesuch Formation, Tue Aug  7 17:11:17 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 314387b08e7c110329689bc2ebe089d0,689699.2063,5148272.828,46.461336,-90.529478, 15T,283.093323,5,6, Bedding,80,318,228,-2.334, Nonesuch Formation, Tue Aug  7 17:11:01 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 7d82f265a1b78cdd3f3a9b0691634d06,689697.5331,5148270.301,46.461314,-90.529501, 15T,282.503906,5,4, Bedding,81,313,223,-2.334, Nonesuch Formation, Tue Aug  7 17:10:33 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 26e8482aae7db3f0e626e78835c36b34,689698.0353,5148271.547,46.461325,-90.529494, 15T,283.169189,5,4, Bedding,80,316,226,-2.334, Nonesuch Formation, Tue Aug  7 17:09:47 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 02ac8036394edb94c8d689abb3c1e322,689686.7363,5148269.264,46.461308,-90.529642, 15T,293.450867,5,6, Bedding,83,311,221,-2.334, Nonesuch Formation, Tue Aug  7 17:09:06 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, c0def7aae7a0adc86d4b2b65133a8e3a,689659.0882,5148326.072,46.461826,-90.529979, 15T,273.93457,10,6, Bedding,80,305,215,-2.334, Nonesuch Formation, Tue Aug  7 15:06:58 2018, Uppermost grey sandstone in PRF18 section,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 484688f8722e2d5aa3d3635c444640f1,689655.9872,5148336.448,46.46192,-90.530015, 15T,270.997864,10,8, Bedding,79,309,219,-2.334, Freda Formation, Tue Aug  7 15:05:59 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 7d964f40b86e6735faf1f0e9895053ac,689676.0294,5148263.084,46.461255,-90.529784, 15T,294.213989,10,12, Bedding,80,311,221,-2.334, Nonesuch Formation, Tue Aug  7 11:50:32 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 4221a135dcf69a04b973bb2322a95add,689661.451,5148269.671,46.461319,-90.529971, 15T,294.649841,5,6, Bedding,83,309,219,-2.334, Nonesuch Formation, Tue Aug  7 11:48:57 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 346676b9ea679a2fad050ed551d69060,689660.8261,5148267.61,46.4613,-90.52998, 15T,297.800476,5,4, Bedding,81,308,218,-2.334, Nonesuch Formation, Tue Aug  7 11:48:42 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, f45d96150653c3476eb3b0139e8c55d3,689667.8329,5148258.619,46.461217,-90.529892, 15T,302.675049,10,8, Bedding,79,310,220,-2.334, Nonesuch Formation, Tue Aug  7 11:48:08 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, 759d3131688fd2bc105b9748f2083e8e,689671.7207,5148249.66,46.461136,-90.529845, 15T,316.458923,5,8, Bedding,82,313,223,-2.334, Nonesuch Formation, Tue Aug  7 11:47:13 2018, ,yes,,,NSH
c501376c4de00b49ca3fcd58569691a3, Locality 1, fa05f0d0f0dc553ba82ed1815f209f82,689669.4684,5148254.936,46.461184,-90.529872, 15T,313.705811,10,12, Bedding,83,307,217,-2.334, Nonesuch Formation, Tue Aug  7 11:46:02 2018, ,yes,,,NSH
