,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AP1-,,,,,,,,,,,,,,,,,,,,,
site_name,AP1-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.610124,(N),,,,,,,,,,,,,,,,,,,,
site_long,-88.19861297,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0.2,308,19.0,75,13.0,yes,279,-4,2014,7,26,14,44,,nan,300.0,[355.29017567057349; 74.257412135600774; 56773.460278550301],-4.70982432943,-8.0,300.0,70.3
2a,sun compass orientation,0.35,34,39.0,75,13.0,yes,2,-4,2014,7,26,14,57,,nan,28.6,[355.29017494938017; 74.257410250447535; 56773.457393198791],-4.70982505062,-5.4,28.6,70.3
3a,sun compass orientation,0.4,316,20.0,75,13.0,yes,273,-4,2014,7,26,15,15,,nan,307.1,[355.29017395080501; 74.25740764023503; 56773.45339809679],-4.70982604919,-8.9,307.1,70.3
4a,sun compass orientation,0.5,12,19.0,75,13.0,yes,326,-4,2014,7,26,15,24,,nan,3.6,[355.29017345151749; 74.257406335128664; 56773.451400545833],-4.70982654848,-8.4,3.6,70.3
5a,sun compass orientation,4,329,38.0,75,13.0,yes,270,-4,2014,7,26,15,39,,nan,313.1,[355.29017261937173; 74.257404159951122; 56773.44807129429],-4.70982738063,-15.9,313.1,70.3
6a,sun compass orientation,4.2,313,38.0,75,13.0,yes,262,-4,2014,7,26,15,47,,nan,307.9,[355.29017217556071; 74.257402999856339; 56773.446295693509],-4.70982782444,-5.1,307.9,70.3
7a,sun compass orientation,4.4,322,52.0,75,13.0,yes,272,-4,2014,7,26,15,55,,nan,320.6,[355.29017173174969; 74.257401839761499; 56773.444520092751],-4.70982826825,-1.4,320.6,70.3
8a,sun compass orientation,4.4,317,50.0,75,13.0,yes,264,-4,2014,7,26,16,8,,nan,316.7,[355.29017101055695; 74.257399954607195; 56773.441634741575],-4.70982898944,-0.3,316.7,70.3
