,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AP2-,,,,,,,,,,,,,,,,,,,,,
site_name,AP2-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.609865,(N),,,,,,,,,,,,,,,,,,,,
site_long,-88.19838978,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,11.7,305,61.0,75,13.0,yes,237.0,-4.0,2014.0,7.0,26.0,16.0,30.0,,nan,296.2,[355.29003561121931; 74.257209197970781; 56773.342517117824],-4.70996438878,-8.8,296.2,70.3
2a,sun compass orientation,11.8,8,30.0,75,13.0,yes,298.0,-4.0,2014.0,7.0,26.0,16.0,34.0,,nan,358.4,[355.29003538931477; 74.257208617921137; 56773.341629315422],-4.70996461069,350.4,358.4,70.3
3a,sun compass orientation,12,122,29.0,75,13.0,yes,53.0,-4.0,2014.0,7.0,26.0,16.0,38.0,,nan,114.4,[355.29003516741017; 74.257208037871479; 56773.340741513006],-4.70996483259,-7.6,114.4,70.3
4a,sun compass orientation,12,132,27.0,75,13.0,yes,63.0,-4.0,2014.0,7.0,26.0,16.0,42.0,,nan,125.5,[355.29003494550562; 74.257207457821764; 56773.339853710597],-4.70996505449,-6.5,125.5,70.3
5a,sun compass orientation,12.4,83,22.0,75,13.0,yes,10.0,-4.0,2014.0,7.0,26.0,16.0,46.0,,nan,73.6,[355.29003472360108; 74.257206877772035; 56773.338965908195],-4.7099652764,-9.4,73.6,70.3
6a,mag compass orientation (IGRF corrected),12.8,65,20.0,75,13.0,yes,nan,-4.0,2014.0,7.0,26.0,1.0,1.0,,nan,nan,[355.29008714879836; 74.25734391400583; 56773.548709387782],-4.7099128512,insufficient data,60.3,70.3
7a,mag compass orientation (IGRF corrected),13.5,44,29.0,75,13.0,yes,nan,-4.0,2014.0,7.0,26.0,1.0,1.0,,nan,nan,[355.29008714879836; 74.25734391400583; 56773.548709387782],-4.7099128512,insufficient data,39.3,70.3
8a,mag compass orientation (IGRF corrected),13.2,230,36.0,75,13.0,yes,nan,-4.0,2014.0,7.0,26.0,1.0,1.0,,nan,nan,[355.29008714879836; 74.25734391400583; 56773.548709387782],-4.7099128512,insufficient data,225.3,70.3
