tab	sites
citations	location	site	lat	lon
This study	Agate Point	AP4-1	48.6	-88.2
This study	Agate Point	AP4-2	48.6	-88.2
This study	Agate Point	AP4-3	48.6	-88.2
This study	Agate Point	AP4-4	48.6	-88.2
This study	Agate Point	AP4-5	48.6	-88.2
This study	Agate Point	AP4-6	48.6	-88.2
This study	Agate Point	AP4-7	48.6	-88.2
This study	Agate Point	AP4-8	48.6	-88.2
