,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB11-,,,,,,,,,,,,,,,,,,,,,
site_name,GB11-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.148755,(¥_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.477066,(¥_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,231.7,243,25.0,22.2,9.5,yes,196.0,-5.0,2015.0,7.0,31.0,15.0,0.0,1.0,nan,242.4,[358.5335638998406; 73.210688924808366; 56267.711131064367],-1.46643610016,-0.6,242.4,20.7
2a,sun compass orientation,232.35,337,9.0,22.2,9.5,yes,281.0,-5.0,2015.0,7.0,31.0,15.0,12.0,1.0,nan,331.3,[358.53356251257094; 73.210687554277797; 56267.708462659051],-1.46643748743,-5.7,331.3,20.7
3a,sun compass orientation,232.05,341,5.0,22.2,9.5,yes,290.0,-5.0,2015.0,7.0,31.0,15.0,16.0,1.0,nan,341.6,[358.53356205014774; 73.210687097434231; 56267.707573190601],-1.46643794985,0.6,341.6,20.7
4a,mag compass orientation (IGRF corrected),232.35,179,15.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,31.0,1.0,1.0,1.0,nan,nan,[358.53366089332962; 73.210784747389766; 56267.897697155269],-1.46633910667,insufficient data,177.5,20.7
5a,sun compass orientation,233.1,81,11.0,22.2,9.5,yes,26.0,-5.0,2015.0,7.0,31.0,15.0,26.0,1.0,nan,80.7,[358.53356089408976; 73.210685955325346; 56267.705349519551],-1.46643910591,-0.3,80.7,20.7
6a,sun compass orientation,232.75,203,26.0,22.2,9.5,yes,147.0,-5.0,2015.0,7.0,31.0,15.0,29.0,1.0,nan,202.6,[358.53356054727237; 73.210685612692657; 56267.704682418269],-1.46643945273,-0.4,202.6,20.7
7a,sun compass orientation,232.8,169,89.0,22.2,9.5,yes,112.0,-5.0,2015.0,7.0,31.0,15.0,33.0,1.0,nan,168.8,[358.53356008484923; 73.210685155849049; 56267.703792949884],-1.46643991515,-0.2,168.8,20.7
8a,sun compass orientation,232.2,209,58.0,22.2,9.5,yes,150.0,-5.0,2015.0,7.0,31.0,15.0,36.0,1.0,nan,207.6,[358.5335597380319; 73.210684813216332; 56267.703125848566],-1.46644026197,-1.4,207.6,20.7
9a,sun compass orientation,232.5,38,13.0,22.2,9.5,yes,339.0,-5.0,2015.0,7.0,31.0,15.0,43.0,1.0,nan,38.6,[358.53355892879142; 73.21068401373995; 56267.701569278863],-1.46644107121,0.6,38.6,20.7
