,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB7-,,,,,,,,,,,,,,,,,,,,,
site_name,GB7-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.149802,(´_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.481872,(´_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),177.95,278,62.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,30.0,1.0,1.0,1.0,nan,nan,[358.53790537556023; 73.211653277856101; 56268.672293325202],-1.46209462444,insufficient data,276.5,20.7
2a,mag compass orientation (IGRF corrected),178.05,188,29.0,22.2,9.5,yes,nan,-5.0,2015.0,7.0,30.0,1.0,1.0,1.0,nan,nan,[358.53790537556023; 73.211653277856101; 56268.672293325202],-1.46209462444,insufficient data,186.5,20.7
3a,sun compass orientation,178.55,211,32.0,22.2,9.5,yes,194.0,-5.0,2015.0,7.0,30.0,13.0,46.0,1.0,nan,210.3,[358.53781689819573; 73.21156591883468; 56268.502179904288],-1.4621831018,-0.7,210.3,20.7
4a,sun compass orientation,178.9,95,18.0,22.2,9.5,yes,80.0,-5.0,2015.0,7.0,30.0,13.0,41.0,1.0,nan,93.9,[358.53781747647798; 73.211566489810508; 56268.503291756257],-1.46218252352,-1.1,93.9,20.7
5a,sun compass orientation,179,269,31.0,22.2,9.5,yes,251.0,-5.0,2015.0,7.0,30.0,13.0,47.0,1.0,nan,267.8,[358.53781678253927; 73.211565804639491; 56268.501957533903],-1.46218321746,-1.2,267.8,20.7
6a,sun compass orientation,179.4,322,11.0,22.2,9.5,yes,302.0,-5.0,2015.0,7.0,30.0,13.0,50.0,1.0,nan,320.2,[358.53781643556988; 73.211565462053969; 56268.501290422711],-1.46218356443,-1.8,320.2,20.7
7a,sun compass orientation,180.85,8,12.0,22.2,9.5,yes,346.0,-5.0,2015.0,7.0,30.0,13.0,57.0,1.0,nan,7.4,[358.53781562597476; 73.211564662687749; 56268.499733829973],-1.46218437403,-0.6,7.4,20.7
8a,sun compass orientation,180.87,356,11.0,22.2,9.5,yes,331.0,-5.0,2015.0,7.0,30.0,14.0,3.0,1.0,nan,355.1,[358.5378149320361; 73.211563977516661; 56268.498399607648],-1.46218506796,-0.9,355.1,20.7
9a,sun compass orientation,181.4,32,13.0,22.2,9.5,yes,4.0,-5.0,2015.0,7.0,30.0,14.0,8.0,1.0,nan,30.3,[358.53781435375396; 73.211563406540719; 56268.497287755716],-1.46218564625,-1.7,30.3,20.7
10a,sun compass orientation,181.4,30,13.0,22.2,9.5,yes,1.0,-5.0,2015.0,7.0,30.0,14.0,10.0,1.0,nan,28.2,[358.53781412244103; 73.211563178150314; 56268.49684301496],-1.46218587756,-1.8,28.2,20.7
