tab	specimens
analysts	citation	sample	specimen	volume	weight
	This study	GB19-1	GB19-1a		 1.000e-03
	This study	GB19-2	GB19-2a		 1.000e-03
	This study	GB19-3	GB19-3a		 1.000e-03
	This study	GB19-4	GB19-4a		 1.000e-03
	This study	GB19-5	GB19-5a		 1.000e-03
	This study	GB19-6	GB19-6a		 1.000e-03
	This study	GB19-7	GB19-7a		 1.000e-03
	This study	GB19-8	GB19-8a		 1.000e-03
