tab	specimens
citations	sample	specimen	volume	weight
This study	GB11-1	GB11-1a		 1.000e-03
This study	GB11-2	GB11-2a		 1.000e-03
This study	GB11-3	GB11-3a		 1.000e-03
This study	GB11-4	GB11-4a		 1.000e-03
This study	GB11-5	GB11-5a		 1.000e-03
This study	GB11-7	GB11-7a		 1.000e-03
This study	GB11-8	GB11-8a		 1.000e-03
This study	GB11-9	GB11-9a		 1.000e-03
