tab	specimens
citations	sample	specimen	volume	weight
This study	GB3-1	GB3-1a		 1.000e-03
This study	GB3-2	GB3-2a		 1.000e-03
This study	GB3-3	GB3-3a		 1.000e-03
This study	GB3-4	GB3-4a		 1.000e-03
This study	GB3-5	GB3-5a		 1.000e-03
This study	GB3-6	GB3-6a		 1.000e-03
This study	GB3-7	GB3-7a		 1.000e-03
This study	GB3-8	GB3-8a		 1.000e-03
